"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
6,139,17,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Glenn Robbins","8:40 pm Monday","3 September 2018","774,000[135]"
6,140,18,"Ed Kavalee, Gen Fricker, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee, Gen Fricker, Marty Sheargold, Kitty Flanagan, Sam Pang","Ed Kavalee","8:40 pm Monday","10 September 2018","811,000[136]"
6,141,19,"Ed Kavalee, Melanie Bracewell, Peter Helliar, Fifi Box, Sam Pang","Ed Kavalee, Melanie Bracewell, Peter Helliar, Fifi Box, Sam Pang","Fifi Box","8:40 pm Monday","17 September 2018","744,000[137]"
6,142,20,"Ed Kavalee, Denise Scott, Santo Cilauro, Celia Pacquola, Sam Pang","Ed Kavalee, Denise Scott, Santo Cilauro, Celia Pacquola, Sam Pang","Ed Kavalee","8:40 pm Monday","24 September 2018","638,000[138]"
6,143,21,"Tony Martin, Urzila Carlson, Glenn Robbins, Gen Fricker, Sam Pang","Tony Martin, Urzila Carlson, Glenn Robbins, Gen Fricker, Sam Pang","Urzila Carlson","8:40 pm Monday","1 October 2018","580,000[139]"
6,144,22,"Ed Kavalee, Amanda Keller, Marty Sheargold, Anne Edmonds, Ivan Aristeguieta","Ed Kavalee, Amanda Keller, Marty Sheargold, Anne Edmonds, Ivan Aristeguieta","Amanda Keller","8:40 pm Monday","8 October 2018","731,000[140]"
6,145,23,"Ed Kavalee, Denise Scott, Dilruk Jayasinha, Melanie Bracewell, Sam Pang","Ed Kavalee, Denise Scott, Dilruk Jayasinha, Melanie Bracewell, Sam Pang","Dilruk Jayasinha","8:40 pm Monday","15 October 2018","769,000[141]"
6,146,24,"Ed Kavalee, Jane Kennedy, Peter Helliar, Anne Edmonds, Sam Pang","Ed Kavalee, Jane Kennedy, Peter Helliar, Anne Edmonds, Sam Pang","Peter Helliar","8:40 pm Monday","22 October 2018","778,000[142]"
6,147,25,"Ed Kavalee, Gen Fricker, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Gen Fricker, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","8:40 pm Monday","29 October 2018","683,000[143]"
6,148,26,"Ed Kavalee, Susie Youssef, Wil Anderson, Kitty Flanagan, Akmal Saleh","Ed Kavalee, Susie Youssef, Wil Anderson, Kitty Flanagan, Akmal Saleh","Ed Kavalee","8:40 pm Monday","5 November 2018","623,000[144]"
